team,confederation,is_host,fifa_rank,fifa_pts,elo_2025,squad_value_eur,squad_size,wc_titles,wc_finals,wc_appearances,avg_player_age,star_player_rating,goalkeeper_rating,squad_depth_score,coach_experience_tournaments,h2h_vs_top10_winrate,knockout_stage_reach_rate,historical_score,composite_strength,recent_form_pts_avg,recent_gf_avg,recent_ga_avg,mc_group_stage_pct,mc_r16_pct,mc_quarterfinal_pct,mc_semifinal_pct,mc_final_pct,mc_win_pct,wc26_squad_size,wc26_avg_caps,wc26_total_caps,wc26_n_defender,wc26_n_forward,wc26_n_goalkeeper,wc26_n_midfielder,pelo_top5_avg,pelo_top11_avg,pelo_max,tm_avg_caps,tm_total_caps,tm_avg_intl_goals,tm_avg_market_value
Nigeria,CAF,0,26,1586.6886,1669.0,209080002.0,23.0,0,0,7,26.5,7.6,7.3,7.3,5,0.36,0.52,16.74,63.087,2.4,2.0,0.5,71.0,27.7,7.1,1.0,0.1,0.0,,,,,,,,2336.44,2261.4181818181814,2387.9,11.692307692307692,456.0,0.8717948717948718,2350000.0
Australia,AFC,0,27,1578.6553,1773.0,51230000.0,26.0,0,0,6,27.2,7.4,7.3,6.9,5,0.25,0.42,14.04,61.705,2.6,2.2,0.6,66.8,23.7,5.4,0.7,0.0,0.0,26.0,27.384615384615383,712.0,10.0,7.0,3.0,6.0,2127.12,2054.963636363636,2270.7,13.928571428571429,195.0,0.7857142857142857,2200000.0
Algeria,CAF,0,28,1571.0333,1757.0,227750000.0,26.0,1,0,4,27.5,7.0,6.9,6.6,4,0.23,0.36,25.32,60.287,2.3,1.8,0.6,63.2,19.9,3.9,0.4,0.0,0.0,26.0,27.653846153846153,719.0,9.0,7.0,3.0,7.0,2272.7799999999997,2165.5909090909086,2376.4,5.851851851851852,158.0,0.37037037037037035,750000.0
Egypt,CAF,0,29,1565.5615,1623.0,108000000.0,26.0,0,0,3,28.0,7.4,7.2,7.0,5,0.29,0.4,9.3,61.373,1.6,1.1,1.0,66.0,23.3,5.0,0.6,0.0,0.0,26.0,30.53846153846154,794.0,10.0,8.0,3.0,5.0,2129.32,1974.5,2504.8,18.65,746.0,1.4,2800000.0
Canada,CONCACAF,1,30,1560.6166,1802.0,129380005.0,26.0,0,0,2,26.8,7.1,7.0,6.9,4,0.3,0.38,7.56,67.66,2.1,2.0,0.7,81.5,42.6,15.9,3.6,0.5,0.1,26.0,32.34615384615385,841.0,9.0,5.0,3.0,9.0,2249.44,2155.109090909091,2354.1,2.6666666666666665,8.0,0.0,2216666.6666666665
Norway,UEFA,0,31,1555.5966,1922.0,504000000.0,24.0,0,0,3,26.0,8.5,7.6,7.8,5,0.4,0.45,9.9,64.671,3.0,4.6,0.6,74.5,32.5,9.5,1.6,0.2,0.0,26.0,29.23076923076923,760.0,9.0,3.0,3.0,11.0,2545.82,2380.7272727272725,2740.1,3.3333333333333335,10.0,0.0,1300000.0
Panama,CONCACAF,0,33,1540.5987,1742.0,32400002.0,23.0,0,0,2,27.0,6.5,6.4,6.1,3,0.15,0.25,6.0,55.32,2.2,2.0,0.8,46.4,9.4,1.1,0.0,0.0,0.0,26.0,57.15384615384615,1486.0,10.0,4.0,3.0,9.0,2117.7,2007.5090909090907,2239.9,22.322580645161292,692.0,1.2903225806451613,
Ivory Coast,CAF,0,34,1532.9753,1627.0,,,0,0,3,27.5,7.2,7.0,6.8,4,0.26,0.38,9.06,59.665,2.1,2.1,0.6,61.0,18.5,3.3,0.4,0.0,0.0,26.0,26.0,676.0,8.0,9.0,3.0,6.0,2337.1,2258.3636363636365,2395.5,,,,
Paraguay,CONMEBOL,0,40,1503.5033,1832.0,134699997.0,25.0,0,0,9,27.3,6.9,6.8,6.5,4,0.2,0.38,18.06,58.523,1.9,1.4,0.9,57.6,15.9,2.6,0.2,0.0,0.0,26.0,25.692307692307693,668.0,8.0,6.0,3.0,9.0,2203.98,2121.7909090909093,2312.1,29.0,29.0,0.0,
Scotland,UEFA,0,43,1499.9201,1790.0,198149994.0,26.0,0,0,8,27.2,7.3,7.2,7.0,5,0.32,0.4,16.8,61.719,2.2,1.7,1.1,66.8,24.0,5.3,0.6,0.0,0.0,26.0,35.96153846153846,935.0,10.0,5.0,3.0,8.0,2398.3599999999997,2269.181818181818,2526.4,14.777777777777779,133.0,2.0,1881250.0
UEFA Playoff A,UEFA,0,45,1540.0,,,,0,0,4,27.5,7.0,7.0,6.8,4,0.28,0.4,10.8,59.155,,,,59.2,17.3,3.1,0.2,0.0,0.0,,,,,,,,,,,,,,
Tunisia,CAF,0,47,1479.0955,1615.0,52299999.0,29.0,0,0,6,27.8,6.9,6.8,6.5,3,0.22,0.35,13.2,57.184,1.8,2.2,0.9,52.9,12.9,1.8,0.1,0.0,0.0,26.0,21.153846153846153,550.0,9.0,7.0,3.0,7.0,2036.5399999999997,1957.7727272727273,2158.3,22.0,176.0,0.75,1450000.0
